name	eia_id	source	sector	chp	latitude	longitude	fips	state	state_abbr	zip	capacity	collocated_with_solar	solar_mw	period	sub_id	interconnect
Walter C Beckjord	2830	batteries	utility	False	38.9917	-84.2981	39025	Ohio	OH	45200	4.0	False	0.0	202108	18887	Eastern
VESI Pomona	50300	batteries	ipp	False	34.059444	-117.774167	6037	California	CA	91768	20.0	False	0.0	202108	37167	Western
Green Mountain Storage, LLC	55370	batteries	ipp	False	39.851389	-79.070556	42111	Pennsylvania	PA	15542	10.4	False	0.0	202108	8144	Eastern
Battery Energy Storage System	57583	batteries	utility	False	64.8167	-147.725	2090	Alaska	AK	99701	40.0	False	0.0	202108	35000	Western
ESS Battery Microgrid	58405	batteries	utility	False	57.799167	-152.404167	2150	Alaska	AK	99615	3.0	False	0.0	202108	35000	Western
Battery Utility of Ohio	58475	batteries	ipp	False	40.260278	-82.833056	39041	Ohio	OH	43074	4.0	False	0.0	202108	19000	Eastern
Laverne Battery	58579	batteries	utility	False	43.638611	-96.39	27133	Minnesota	MN	56616	1.0	False	0.0	202108	26916	Eastern
Santa Rita Jail Hybrid	58625	batteries	ipp	True	37.719167	-121.886944	6001	California	CA	94568	2.0	True	1.5	202108	36377	Western
Prosperity Energy Storage Facility Hybrid	58899	batteries	utility	False	35.001944	-106.637222	35001	New Mexico	NM	87105	0.8	True	0.5	202108	38803	Western
Vaca Dixon Battery Storage System	59256	batteries	utility	False	38.393333	-121.927778	6095	California	CA	95688	2.0	False	0.0	202108	36292	Western
Yerba Buena	59257	batteries	utility	False	37.305833	-121.755	6085	California	CA	95135	4.0	False	0.0	202108	36406	Western
Tehachapi Energy Storage Project	59661	batteries	utility	False	35.123333	-118.38	6029	California	CA	93561	8.0	False	0.0	202108	36843	Western
KCP&L SmartGrid Innovation Park	59772	batteries	utility	False	39.040263	-94.571215	29095	Missouri	MO	64110	1.0	False	0.0	202108	29402	Eastern
AES Warrior Run Energy Storage Project	59949	batteries	ipp	False	39.593075	-78.745333	24001	Maryland	MD	21502	5.0	False	0.0	202108	8398	Eastern
Grand Ridge Battery Projects	59957	batteries	ipp	False	41.2269	-88.6836	17099	Illinois	IL	61341	33.0	False	0.0	202108	24062	Eastern
Elwood Energy Storage Center	59959	batteries	ipp	False	41.896873	-88.222718	17043	Illinois	IL	60185	19.8	False	0.0	202108	23125	Eastern
Jake Energy Storage Center	59960	batteries	ipp	False	41.488679	-88.108757	17197	Illinois	IL	60436	19.8	False	0.0	202108	23400	Eastern
AEP Milton NaS	59995	batteries	utility	False	38.3622	-82.1256	54011	West Virginia	WV	25541	2.0	False	0.0	202108	17987	Eastern
MESA 1	60016	batteries	utility	False	47.936194	-122.246917	53061	Washington	WA	98203	2.0	False	0.0	202108	35227	Western
