project_name	ID_EIA	type	latitude	longitude	region	state	state_fips	state_name	year	capacity_DC_kW	capacity_AC_kW	inverter_loading_ratio	mount_type	tracking_type	tilt	azimuth	average_global_horizontal_irradiance	capacity_factor_average	tech_class_primary	tech_class_secondary	storage_flag	storage_year	storage_capacity	storage_energy	storage_tech	hybrid_flag	hybrid_tech	duplicate	sub_id	interconnect_x	point_of_interconnect	interconnect_y
Nellis Air Force Base	56568.0	UPV	36.258151	-115.052821	West (non-ISO)	NV	32	Nevada	2007	14062.0	12000.0	1.1718333333333333	Tracking	['Single']	20.0	180.0	5.6199872146	0.2810785947987623	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	37939	Western	distribution-primary	Western
Alamosa Photovoltaic Solar Plant (SunE Alamosa)	56481.0	UPV	37.689191	-105.878331	West (non-ISO)	CO	8	Colorado	2007	8220.0	6900.0	1.191304347826087	Combo	['Fixed', 'Single', 'Double']	20.0	180.0	5.3721260274	0.2736223607070324	PV	['c-Si', 'CPV']	False	-1	-1.0	-1.0		False	[]	False	38969	Western	distribution-primary	Western
NRG Solar Blythe I (not to be confused with 2016 NextEra plants)	56939.0	UPV	33.591341	-114.74439	CAISO	CA	6	California	2009	25200.0	21000.0	1.2	Fixed Tilt	['Fixed']	24.0	180.0	5.6800582192	0.251715315838769	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	37753	Western	distribution-primary	Western
Blue Wing Solar Project	57197.0	UPV	29.304177	-98.40034	ERCOT	TX	48	Texas	2010	16600.0	13900.0	1.1942446043165469	Fixed Tilt	['Fixed']	20.0	205.0	4.7898180365	0.1906737421650372	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	40619	Texas	distribution-primary	Texas
PSEG Jacksonville Solar	57202.0	UPV	30.320471	-81.95693	Southeast (non-ISO)	FL	12	Florida	2010	15000.0	12600.0	1.1904761904761905	Fixed Tilt	['Fixed']	20.0	180.0	4.7382465753	0.1808598160841966	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	13473	Eastern	distribution-primary	Eastern
PSEG Wyandot Solar Facility	57203.0	UPV	40.880121	-83.31611	PJM	OH	39	Ohio	2010	12015.0	10080.0	1.1919642857142858	Fixed Tilt	['Fixed']	25.0	180.0	3.8374769406	0.1568301579974422	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	20258	Eastern	distribution-primary	Eastern
Exelon City Solar (West Pullman Industrial Redevelopment Area)	57191.0	UPV	41.675051	-87.651011	PJM	IL	17	Illinois	2010	10000.0	8250.0	1.2121212121212122	Tracking	['Single']	-1.0	180.0	3.8952319635	0.1964394779718462	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	22959	Eastern	distribution-primary	Eastern
Paradise Solar Energy Center	58569.0	UPV	39.836211	-75.22225	PJM	NJ	34	New Jersey	2010	6158.0	5100.0	1.207450980392157	Fixed Tilt	['Fixed']	25.0	180.0	4.0214910959		PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5412	Eastern	distribution-primary	Eastern
NRG Solar - Roadrunner	57338.0	UPV	31.803161	-106.67058	West (non-ISO)	NM	35	New Mexico	2011	23918.4	20160.0	1.1864285714285714	Tracking	['Single']	-1.0	180.0	5.8972486301	0.2916672765307624	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	39715	Western	distribution-primary	Western
Stroud Solar Station	57497.0	UPV	36.523761	-120.12336	CAISO	CA	6	California	2011	24640.0	20000.0	1.232	Fixed Tilt	['Fixed']	25.0	181.0	5.2963639269	0.2214655936627547	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	36671	Western	distribution-primary	Western
SMUD - Bruceville (at Grundman) (NOT RE Bruceville)	57669.0	UPV	38.36515	-121.413261	West (non-ISO)	CA	6	California	2011	21902.0	18000.0	1.2167777777777775	Fixed Tilt	['Fixed']	20.0	210.0	5.0825618721	0.2144113707655971	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	35953	Western	distribution-primary	Western
Pilesgrove Solar Project	57448.0	UPV	39.612671	-75.31006	PJM	NJ	34	New Jersey	2011	19900.08	18000.0	1.10556	Fixed Tilt	['Fixed']	25.0	180.0	4.0945557078	0.170459068992806	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5807	Eastern	distribution-primary	Eastern
APS - AZ Sun - Paloma Solar Plant	57562.0	UPV	33.020641	-112.66174	West (non-ISO)	AZ	4	Arizona	2011	22500.0	17600.0	1.2784090909090908	Fixed Tilt	['Fixed']	25.0	190.0	5.8092182648	0.2561725835279712	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	38055	Western	distribution-primary	Western
Cotton Center	57561.0	UPV	33.03521	-112.66059	West (non-ISO)	AZ	4	Arizona	2011	21000.0	17000.0	1.2352941176470589	Tracking	['Single']	-1.0	180.0	5.8092182648	0.2704446310134038	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	38055	Western	distribution-primary	Western
Hyder Solar Plant I	57563.0	UPV	33.026251	-113.35328	West (non-ISO)	AZ	4	Arizona	2011	21000.0	16000.0	1.3125	Tracking	['Single']	-1.0	180.0	5.8588940639	0.2815100706530553	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	38446	Western	distribution-primary	Western
Five Points Solar Station	57498.0	UPV	36.395531	-120.1078	CAISO	CA	6	California	2011	17600.0	15000.0	1.1733333333333331	Fixed Tilt	['Fixed']	25.0	179.0	5.3627531963	0.2100640041069089	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	36564	Western	distribution-primary	Western
